iter	Passed	Remaining
323	4269	8908
324	4285	8900
325	4300	8892
326	4317	8886
327	4334	8880
328	4351	8874
329	4367	8867
330	4384	8860
331	4400	8853
332	4415	8844
333	4430	8833
334	4445	8825
335	4461	8816
336	4470	8794
337	4484	8782
338	4498	8771
339	4511	8757
340	4525	8745
341	4541	8737
342	4560	8736
343	4576	8727
344	4591	8717
345	4604	8702
346	4632	8716
347	4659	8729
348	4681	8732
349	4703	8735
350	4715	8719
351	4737	8721
352	4753	8711
353	4768	8702
354	4783	8691
355	4798	8679
356	4813	8669
357	4824	8651
358	4836	8635
359	4850	8623
360	4865	8612
361	4876	8594
362	4886	8575
363	4898	8559
364	4911	8544
365	4928	8537
366	4942	8525
367	4956	8512
368	4973	8505
369	4988	8493
370	5001	8480
371	5018	8471
372	5029	8454
373	5040	8437
374	5055	8425
375	5071	8416
376	5088	8408
377	5105	8400
378	5119	8388
379	5134	8377
380	5151	8368
381	5167	8359
382	5182	8349
383	5198	8339
384	5214	8329
385	5229	8318
386	5244	8307
387	5258	8294
388	5274	8284
389	5287	8270
390	5298	8253
391	5313	8241
392	5325	8224
393	5341	8215
394	5354	8200
395	5365	8183
396	5378	8169
397	5396	8161
398	5412	8152
399	5425	8137
400	5444	8133
401	5456	8117
402	5473	8108
403	5487	8095
404	5499	8080
405	5514	8067
406	5529	8056
407	5545	8046
408	5559	8033
409	5572	8019
410	5586	8006
411	5600	7993
412	5613	7978
413	5629	7967
414	5651	7965
415	5666	7954
416	5680	7942
417	5690	7923
418	5708	7915
419	5746	7936
420	5769	7935
421	5791	7932
422	5801	7913
423	5820	7906
424	5835	7894
425	5846	7877
426	5859	7862
427	5871	7847
428	5881	7828
429	5891	7809
430	5903	7794
431	5917	7780
432	5932	7768
433	5945	7753
434	5960	7742
435	5973	7727
436	5986	7713
437	5998	7697
438	6009	7679
439	6021	7664
440	6034	7648
441	6047	7634
442	6060	7619
443	6071	7603
444	6083	7587
445	6095	7571
446	6107	7556
447	6119	7540
448	6131	7524
449	6143	7509
450	6155	7493
451	6167	7477
452	6183	7466
453	6194	7449
454	6207	7435
455	6220	7420
456	6232	7405
457	6244	7389
458	6256	7374
459	6268	7358
460	6280	7343
461	6293	7328
462	6305	7313
463	6317	7297
464	6329	7282
465	6341	7266
466	6352	7250
467	6368	7239
468	6382	7226
469	6397	7214
470	6410	7199
471	6422	7184
472	6434	7169
473	6446	7154
474	6458	7138
475	6470	7122
476	6482	7107
477	6494	7092
478	6506	7076
479	6517	7061
480	6529	7045
481	6545	7034
482	6560	7022
483	6573	7008
484	6589	6996
485	6596	6977
486	6608	6961
487	6620	6946
488	6632	6931
489	6644	6915
490	6656	6900
491	6668	6885
492	6680	6870
493	6692	6854
494	6704	6839
495	6719	6827
496	6733	6815
497	6746	6800
498	6760	6787
499	6772	6772
500	6783	6756
501	6796	6741
502	6817	6736
503	6837	6728
504	6851	6715
505	6865	6702
506	6877	6687
507	6890	6673
508	6903	6659
509	6917	6645
510	6928	6630
511	6940	6615
512	6952	6600
513	6964	6585
514	6976	6570
515	6988	6555
516	7000	6540
517	7012	6525
518	7024	6510
519	7036	6494
520	7047	6479
521	7060	6465
522	7077	6454
523	7092	6443
524	7104	6428
525	7118	6414
526	7131	6400
527	7143	6385
528	7155	6370
529	7166	6355
530	7178	6340
531	7190	6325
532	7202	6311
533	7215	6296
534	7227	6281
535	7239	6267
536	7254	6255
537	7266	6239
538	7280	6226
539	7295	6215
540	7310	6202
541	7325	6190
542	7341	6178
543	7356	6166
544	7370	6153
545	7384	6140
546	7397	6126
547	7410	6112
548	7423	6098
549	7435	6083
550	7449	6070
551	7462	6056
552	7472	6040
553	7483	6024
554	7494	6009
555	7505	5993
556	7518	5979
557	7530	5965
558	7543	5950
559	7555	5936
560	7567	5921
561	7579	5907
562	7595	5895
563	7609	5882
564	7623	5869
565	7636	5855
566	7648	5840
567	7661	5826
568	7675	5813
569	7686	5798
570	7698	5784
571	7710	5769
572	7723	5755
573	7736	5741
574	7749	5727
575	7762	5713
576	7774	5699
577	7788	5686
578	7803	5674
579	7816	5660
580	7829	5646
581	7839	5630
582	7851	5616
583	7866	5603
584	7882	5591
585	7905	5585
586	7919	5572
587	7932	5558
588	7945	5544
589	7957	5529
590	7968	5514
591	7979	5499
592	7993	5486
593	8005	5472
594	8018	5458
595	8030	5443
596	8041	5428
597	8050	5412
598	8061	5396
599	8070	5380
600	8083	5366
601	8096	5352
602	8109	5339
603	8122	5325
604	8135	5311
605	8149	5298
606	8165	5286
607	8180	5274
608	8192	5260
609	8207	5247
610	8219	5233
611	8231	5218
612	8243	5204
613	8255	5189
614	8266	5175
615	8278	5160
616	8290	5146
617	8302	5131
618	8314	5117
619	8327	5103
620	8338	5088
621	8351	5075
622	8364	5061
623	8376	5047
624	8388	5032
625	8401	5019
626	8416	5007
627	8430	4993
628	8445	4981
629	8458	4967
630	8473	4955
631	8486	4941
632	8500	4928
633	8510	4912
634	8525	4900
635	8539	4887
636	8551	4873
637	8555	4854
638	8567	4840
639	8578	4825
640	8589	4810
641	8598	4795
642	8610	4780
643	8622	4766
644	8635	4752
645	8646	4738
646	8657	4723
647	8671	4710
648	8684	4696
649	8700	4684
650	8714	4671
651	8726	4657
652	8737	4643
653	8749	4628
654	8762	4615
655	8774	4601
656	8785	4586
657	8798	4573
658	8811	4559
659	8824	4545
660	8836	4531
661	8849	4518
662	8866	4506
663	8883	4495
664	8900	4483
665	8916	4471
666	8933	4459
667	8946	4446
668	8959	4432
669	8971	4418
670	8982	4404
671	8992	4389
672	9001	4373
673	9012	4359
674	9024	4344
675	9035	4330
676	9048	4317
677	9059	4302
678	9070	4287
679	9082	4274
680	9094	4260
681	9107	4246
682	9119	4232
683	9130	4218
684	9141	4203
685	9153	4189
686	9165	4175
687	9177	4161
688	9189	4147
689	9201	4133
690	9214	4120
691	9228	4107
692	9240	4093
693	9251	4079
694	9264	4065
695	9276	4051
696	9289	4038
697	9301	4024
698	9313	4010
699	9325	3996
700	9337	3982
701	9350	3969
702	9362	3955
703	9375	3942
704	9387	3928
705	9404	3916
706	9420	3903
707	9434	3891
708	9446	3877
709	9458	3863
710	9469	3848
711	9482	3835
712	9494	3821
713	9505	3807
714	9517	3793
715	9529	3779
716	9542	3766
717	9554	3752
718	9566	3738
719	9580	3725
720	9594	3712
721	9609	3700
722	9625	3687
723	9637	3674
724	9650	3660
725	9662	3646
726	9674	3632
727	9686	3619
728	9698	3605
729	9710	3591
730	9722	3577
731	9734	3564
732	9751	3551
733	9764	3538
734	9777	3525
735	9790	3511
736	9803	3498
737	9815	3484
738	9827	3470
739	9839	3457
740	9851	3443
741	9863	3429
742	9875	3415
743	9887	3402
744	9899	3388
745	9906	3372
746	9918	3359
747	9939	3348
748	9974	3342
749	10013	3337
750	10049	3332
751	10069	3320
752	10083	3307
753	10099	3295
754	10112	3281
755	10129	3269
756	10141	3255
757	10153	3241
758	10168	3228
759	10181	3215
760	10195	3202
761	10209	3188
762	10222	3175
763	10235	3161
764	10247	3147
765	10258	3133
766	10268	3119
767	10279	3105
768	10291	3091
769	10305	3078
770	10315	3063
771	10325	3049
772	10336	3035
773	10348	3021
774	10363	3008
775	10375	2994
776	10389	2981
777	10404	2968
778	10417	2955
779	10430	2941
780	10442	2928
781	10453	2914
782	10465	2900
783	10480	2887
784	10492	2873
785	10504	2860
786	10515	2846
787	10528	2832
788	10542	2819
789	10555	2805
790	10571	2793
791	10583	2779
792	10596	2766
793	10608	2752
794	10621	2738
795	10633	2725
796	10645	2711
797	10657	2697
798	10668	2683
799	10678	2669
800	10688	2655
801	10704	2642
802	10716	2629
803	10728	2615
804	10742	2602
805	10754	2588
806	10769	2575
807	10786	2563
808	10800	2550
809	10816	2537
810	10831	2524
811	10844	2510
812	10855	2496
813	10865	2482
814	10875	2468
815	10886	2454
816	10897	2440
817	10908	2426
818	10922	2413
819	10935	2400
820	10949	2387
821	10961	2373
822	10972	2359
823	10984	2346
824	10995	2332
825	11009	2319
826	11023	2305
827	11037	2292
828	11055	2280
829	11076	2268
830	11088	2255
831	11099	2241
832	11110	2227
833	11120	2213
834	11132	2199
835	11143	2186
836	11154	2172
837	11166	2158
838	11177	2144
839	11193	2132
840	11208	2119
841	11220	2105
842	11232	2092
843	11244	2078
844	11256	2064
845	11268	2051
846	11280	2037
847	11293	2024
848	11304	2010
849	11317	1997
850	11328	1983
851	11340	1969
852	11352	1956
853	11369	1943
854	11386	1931
855	11398	1917
856	11411	1904
857	11422	1890
858	11434	1876
859	11445	1863
860	11458	1849
861	11470	1836
862	11482	1822
863	11494	1809
864	11505	1795
865	11519	1782
866	11531	1768
867	11547	1756
868	11561	1742
869	11576	1729
870	11589	1716
871	11601	1702
872	11613	1689
873	11625	1675
874	11637	1662
875	11649	1649
876	11661	1635
877	11673	1622
878	11686	1608
879	11700	1595
880	11714	1582
881	11728	1569
882	11738	1555
883	11750	1541
884	11762	1528
885	11774	1514
886	11785	1501
887	11796	1487
888	11812	1474
889	11827	1461
890	11840	1448
891	11853	1435
892	11864	1421
893	11876	1408
894	11889	1394
895	11905	1381
896	11920	1368
897	11934	1355
898	11946	1342
899	11957	1328
900	11968	1315
901	11980	1301
902	11992	1288
903	12004	1274
904	12016	1261
905	12028	1248
906	12041	1234
907	12052	1221
908	12064	1207
909	12081	1194
910	12097	1181
911	12119	1169
912	12149	1157
913	12166	1144
914	12178	1131
915	12189	1117
916	12200	1104
917	12210	1090
918	12222	1077
919	12242	1064
920	12264	1052
921	12279	1038
922	12294	1025
923	12309	1012
924	12323	999
925	12336	985
926	12350	972
927	12364	959
928	12374	945
929	12386	932
930	12399	918
931	12413	905
932	12427	892
933	12440	879
934	12453	865
935	12466	852
936	12479	839
937	12490	825
938	12503	812
939	12514	798
940	12528	785
941	12541	772
942	12554	758
943	12567	745
944	12579	732
945	12592	718
946	12604	705
947	12616	692
948	12630	678
949	12641	665
950	12652	651
951	12665	638
952	12677	625
953	12687	611
954	12702	598
955	12714	585
956	12726	571
957	12738	558
958	12750	545
959	12761	531
960	12773	518
961	12785	505
962	12797	491
963	12813	478
964	12827	465
965	12842	452
966	12856	438
967	12868	425
968	12880	412
969	12892	398
970	12903	385
971	12915	372
972	12926	358
973	12938	345
974	12950	332
975	12962	318
976	12974	305
977	12989	292
978	13004	278
979	13018	265
980	13031	252
981	13043	239
982	13054	225
983	13067	212
984	13079	199
985	13090	185
986	13102	172
987	13114	159
988	13126	145
989	13138	132
990	13150	119
991	13190	106
992	13211	93
993	13245	79
994	13259	66
995	13272	53
996	13283	39
997	13294	26
998	13305	13
999	13316	0
