iter	Logloss
0	0.6829201074
1	0.6729615047
2	0.6609423455
3	0.6515673103
4	0.6413343449
5	0.6328727297
6	0.6237828999
7	0.6127327003
8	0.6023663931
9	0.5934662571
10	0.5848977133
11	0.574973336
12	0.5667573328
13	0.5586872594
14	0.5516007142
15	0.5443513069
16	0.5370480745
17	0.5297063804
18	0.5216079932
19	0.5139250323
20	0.5076188557
21	0.500110409
22	0.4933139764
23	0.4868850602
24	0.4799122734
25	0.4718696716
26	0.465628592
27	0.4591976402
28	0.4532157815
29	0.4458865395
30	0.4403173983
31	0.4351261559
32	0.4300154574
33	0.4255087983
34	0.4184055435
35	0.4121872074
36	0.4066688189
37	0.4015054941
38	0.3961308871
39	0.3907128133
40	0.3860474749
41	0.3811951576
42	0.3766457256
43	0.3723212627
44	0.3674839045
45	0.3622375881
46	0.3577169631
47	0.3522036023
48	0.348769444
49	0.3450187336
50	0.3403133942
51	0.335812233
52	0.3319317827
53	0.3283273074
54	0.3242706272
55	0.3200717835
56	0.3158362741
57	0.3124806255
58	0.3083066136
59	0.3046890474
60	0.3000186803
61	0.2960302916
62	0.2927718672
63	0.2889756232
64	0.2856322116
65	0.2823840012
66	0.2783469617
67	0.2752799111
68	0.2717740816
69	0.2682815365
70	0.2648746856
71	0.2617106165
72	0.2580963256
73	0.2549794485
74	0.2521832448
75	0.2492525282
76	0.2463449372
77	0.2437491354
78	0.2402758357
79	0.2381419587
80	0.235182411
81	0.2329241362
82	0.2300657805
83	0.2277441649
84	0.2254962486
85	0.2229057482
86	0.2206770356
87	0.2181947931
88	0.216152154
89	0.2139355973
90	0.2116559926
91	0.2099886533
92	0.2075873193
93	0.2056306947
94	0.2039277363
95	0.2018436489
96	0.2001093134
97	0.1983846382
98	0.1963190073
99	0.1946287897
100	0.1924492917
101	0.1903317542
102	0.1883700087
103	0.1862791609
104	0.1847787914
105	0.1834794336
106	0.1814918753
107	0.1799068417
108	0.1785490092
109	0.1768872117
110	0.1752376508
111	0.1737941615
112	0.1722240802
113	0.1702483186
114	0.1687747702
115	0.1672079013
116	0.1657774259
117	0.1644264548
118	0.1627542755
119	0.1615214113
120	0.1598743665
121	0.1583931469
122	0.1570831727
123	0.1563996468
124	0.1550543458
125	0.1537925811
126	0.1522204373
127	0.1511002514
128	0.1495902131
129	0.1480403389
130	0.1469036758
131	0.1458313624
132	0.144605208
133	0.1433897221
134	0.1421007854
135	0.1412906311
136	0.1401334859
137	0.1388745911
138	0.1376013789
139	0.1363332903
140	0.1352181776
141	0.1339410244
142	0.1331461868
143	0.1323343576
144	0.13131161
145	0.1299869696
146	0.1292184573
147	0.1282847626
148	0.1275658138
149	0.1269428842
150	0.126273759
151	0.1255272743
152	0.1248330643
153	0.1238869446
154	0.1229840228
155	0.1219945885
156	0.1210289784
157	0.1200312156
158	0.1191298938
159	0.1183723967
160	0.117202949
161	0.1162230936
162	0.1155279409
163	0.1147036209
164	0.113680413
165	0.1128142497
166	0.1119604648
167	0.1111702947
168	0.1105014501
169	0.1097754488
170	0.1090224181
171	0.1080517771
172	0.1072939694
173	0.1066846968
174	0.1057891199
175	0.1049421459
176	0.1040876118
177	0.103182704
178	0.1023995964
179	0.10165907
180	0.1011205972
181	0.1003825148
182	0.09977657699
183	0.09927198406
184	0.09843383984
185	0.09787000939
186	0.0973667306
187	0.09686092104
188	0.09638061102
189	0.09581060274
190	0.09533953846
191	0.0947374842
192	0.09431691067
193	0.09370870967
194	0.09316308141
195	0.0925461388
196	0.09194278451
197	0.0913201431
198	0.09071945462
199	0.09032832921
200	0.08986954041
201	0.08944156718
202	0.08884117296
203	0.0883386361
204	0.08800341662
205	0.08757805361
206	0.08704711086
207	0.08650171159
208	0.08616715624
209	0.08558390757
210	0.08517054577
211	0.08470932052
212	0.08429825715
213	0.08403300241
214	0.08358707002
215	0.08323295925
216	0.08286962186
217	0.08252707734
